fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Style
Mike Lullo,68.0,145.0,72.0,2.48,0.36,4.84,0.4,1.18,0.11,0.0,0.6,0
Travis Lutter,71.0,185.0,75.0,0.41,0.32,2.42,0.42,1.95,0.24,0.3,0.7,0
Tucker Lutz,68.0,155.0,72.0,4.33,0.49,2.8,0.47,2.0,0.57,0.81,0.5,2
Vicente Luque,71.0,170.0,75.0,5.72,0.53,5.82,0.52,0.68,0.5,0.64,0.8,2
Lv Zhenhong,68.0,145.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Stevie Lynch,70.0,170.0,72.0,2.47,0.25,7.06,0.41,0.0,0.0,0.0,0.0,0
Adam Lynn,70.0,155.0,72.0,1.47,0.63,6.95,0.1,0.0,0.0,0.5,0.0,0
Chris Lytle,71.0,170.0,68.0,3.76,0.45,3.03,0.58,0.7,0.55,0.55,2.4,1
Dong Hyun Ma,71.0,155.0,70.0,2.84,0.41,4.1,0.54,1.27,0.53,0.33,0.0,0
William Macario,71.0,170.0,75.0,4.92,0.54,3.96,0.65,1.85,0.45,0.78,0.0,2
Jason MacDonald,75.0,185.0,80.0,1.55,0.52,2.7,0.46,1.43,0.16,0.35,2.0,1
Rob MacDonald,75.0,205.0,78.0,1.8,0.5,2.04,0.46,7.19,0.8,0.8,5.4,1
Rory MacDonald,72.0,170.0,76.0,3.75,0.42,2.8,0.62,1.77,0.47,0.88,0.4,2
Ryan MacDonald,71.0,135.0,71.0,2.28,0.29,6.49,0.45,0.0,0.0,0.0,0.0,0
Veronica Macedo,64.0,125.0,64.0,3.13,0.39,5.06,0.43,0.57,0.18,0.46,0.6,0
Clayton MacFarlane,70.0,170.0,72.0,1.33,0.52,1.82,0.55,1.05,0.33,0.37,0.0,0
War Machine,71.0,170.0,72.0,2.32,0.6,3.17,0.43,1.16,0.5,0.4,0.0,0
Anthony Macias,69.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lyoto Machida,73.0,185.0,74.0,2.59,0.53,1.57,0.61,1.21,0.65,0.75,0.4,0
Ryan Madigan,72.0,170.0,72.0,0.0,0.0,3.35,0.47,0.0,0.0,0.0,0.0,0
Pauline Macias,64.0,115.0,64.0,0.8,0.29,4.6,0.42,2.0,0.18,0.0,0.0,0
Don Madge,72.0,155.0,72.0,2.08,0.52,0.74,0.67,2.22,0.25,0.8,0.7,1
Ilima Macfarlane,64.0,125.0,72.0,4.13,0.43,2.93,0.65,0.0,0.0,0.5,1.0,2
Mark Madsen,68.0,155.0,72.0,2.28,0.42,2.53,0.46,8.33,0.64,0.0,0.0,1
Jon Madsen,72.0,240.0,72.0,2.46,0.41,1.18,0.81,1.32,0.71,0.7,0.0,0
Yoshiro Maeda,67.0,139.0,68.0,2.36,0.33,2.55,0.63,2.93,0.51,0.5,0.7,1
Vinicius Magalhaes,70.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Vinny Magalhaes,75.0,205.0,75.0,2.14,0.24,3.97,0.68,1.55,0.44,0.66,0.8,0
Bernardo Magalhaes,69.0,155.0,72.0,1.8,0.27,3.37,0.68,0.0,0.0,0.0,0.5,0
Eric Magana,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Caio Magalhaes,73.0,185.0,73.0,2.27,0.4,2.78,0.56,1.05,0.15,0.58,1.6,1
Brandon Magana,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Reza Madadi,71.0,155.0,73.0,2.51,0.46,3.31,0.66,3.17,0.33,0.89,0.5,1
Angela Magana,61.0,115.0,65.0,1.53,0.28,4.92,0.42,0.4,0.25,0.28,0.4,0
Neil Magny,75.0,170.0,80.0,3.67,0.47,2.05,0.56,2.46,0.45,0.57,0.3,1
Rashid Magomedov,69.0,155.0,70.0,4.4,0.49,3.05,0.54,0.67,0.57,0.89,0.2,2
Ruslan Magomedov,75.0,242.0,78.0,4.02,0.47,1.47,0.66,0.33,1.0,0.88,0.0,2
Ibragim Magomedov,72.0,250.0,72.0,0.26,0.04,3.86,0.42,0.0,0.0,0.0,0.0,0
John Maguire,69.0,155.0,69.0,1.41,0.41,2.44,0.65,2.8,0.46,0.77,1.1,1
Zabit Magomedsharipov,73.0,145.0,73.0,4.89,0.48,3.0,0.64,5.22,0.56,0.77,0.8,1
Lolohea Mahe,70.0,170.0,72.0,1.71,0.29,6.92,0.4,2.44,0.4,0.0,0.0,1
Leonardo Mafra,70.0,155.0,70.0,4.55,0.48,4.38,0.43,2.12,0.83,0.69,0.4,1
Michelle Maher,70.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bill Mahood,75.0,200.0,72.0,1.54,0.85,3.59,0.17,0.0,0.0,0.0,3.9,1
Levan Makashvili,68.0,145.0,68.0,2.87,0.54,2.07,0.61,3.67,0.42,0.85,0.0,1
Jennifer Maia,64.0,125.0,64.0,3.34,0.39,3.52,0.52,0.34,0.5,0.56,0.2,0
Klayton Mai,69.0,125.0,72.0,1.53,0.42,1.02,0.63,3.83,1.0,0.0,7.7,1
John Makdessi,68.0,155.0,68.0,5.36,0.51,3.76,0.7,0.0,0.0,0.88,0.0,2
Demian Maia,73.0,170.0,72.0,1.82,0.43,2.03,0.63,2.55,0.26,0.61,1.0,1
Aliev Makhmud,66.0,195.0,72.0,1.12,0.3,2.24,0.36,2.1,0.5,0.0,0.0,1
Islam Makhachev,70.0,155.0,70.0,2.0,0.56,0.77,0.7,3.46,0.68,0.93,1.0,1
Marvin Maldonado,66.0,135.0,72.0,0.87,0.56,3.47,0.43,0.0,0.0,0.2,0.0,0
Zach Makovsky,64.0,125.0,64.0,1.94,0.43,2.24,0.62,3.71,0.3,0.56,0.3,1
Jeremy Malaterre,71.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Fabio Maldonado,73.0,205.0,75.0,5.29,0.58,4.31,0.53,0.44,0.57,0.61,0.6,2
Nazareno Malegarie,68.0,155.0,72.0,3.87,0.34,3.27,0.69,1.0,0.33,0.0,0.0,2
Carl Malenko,71.0,200.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bea Malecki,69.0,135.0,74.0,6.78,0.46,6.14,0.62,0.0,0.0,0.78,1.4,1
Jacob Malkoun,69.0,185.0,73.0,0.0,0.0,23.33,0.36,0.0,0.0,0.0,0.0,0
Nate Maness,70.0,135.0,72.0,2.4,0.45,4.63,0.45,1.33,0.66,0.88,0.7,0
Michael Mangan,70.0,155.0,72.0,1.94,0.33,4.52,0.46,19.35,0.5,1.0,0.0,1
Mike Malott,72.0,145.0,72.0,4.53,0.36,4.53,0.51,2.0,0.33,0.0,0.0,2
Troy Mandaloniz,69.0,170.0,72.0,3.52,0.56,4.71,0.63,3.1,0.66,0.57,0.0,1
Jon Manley,73.0,170.0,72.0,1.13,0.2,4.33,0.45,1.0,0.07,0.2,0.0,0
Melchor Manibusan,65.0,154.0,72.0,1.58,0.54,5.79,0.15,0.0,0.0,0.0,0.0,0
Gary Mangat,67.0,135.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Melvin Manhoef,69.0,185.0,72.0,3.52,0.48,2.64,0.51,0.33,0.25,0.78,0.0,2
Chris Manuel,69.0,135.0,72.0,2.53,0.4,2.67,0.66,1.0,0.2,1.0,0.0,0
Steve Mann,73.0,170.0,72.0,3.18,0.7,0.66,0.57,1.64,1.0,0.6,0.0,0
Cristiano Marcello,69.0,155.0,72.0,2.56,0.33,3.61,0.58,0.44,0.11,0.2,0.9,0
Jimi Manuwa,73.0,205.0,79.0,3.43,0.54,3.97,0.49,0.53,0.18,0.7,0.4,0
Jose Maria,65.0,125.0,72.0,3.2,0.53,3.98,0.52,2.32,0.27,0.33,2.3,1
Enrique Marin,70.0,170.0,72.0,1.43,0.33,3.0,0.5,2.5,0.38,0.6,1.0,1
Marcos Mariano,73.0,155.0,76.0,0.25,0.27,2.11,0.43,0.0,0.0,0.28,0.0,0
Ronny Markes,73.0,185.0,75.0,2.17,0.53,2.43,0.45,3.13,0.4,1.0,0.5,1
Rory Markham,72.0,170.0,71.0,1.98,0.21,10.27,0.45,0.0,0.0,0.0,0.0,0
Christina Marks,67.0,125.0,69.0,5.0,0.58,3.0,0.64,7.5,1.0,0.0,0.0,1
Randa Markos,64.0,115.0,63.0,2.85,0.41,3.2,0.59,1.23,0.28,0.57,0.2,0
Nate Marquardt,72.0,185.0,74.0,2.71,0.49,2.32,0.55,1.87,0.51,0.7,0.8,0
Danilo Marques,78.0,205.0,77.0,1.81,0.88,1.41,0.5,4.83,0.34,0.0,1.2,1
Carmelo Marrero,72.0,205.0,73.0,0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9,1
Julian Marquez,74.0,185.0,72.0,3.5,0.4,2.98,0.52,0.0,0.0,0.53,3.4,1
Cesar Marscucci,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CJ Marsh,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
John Marsh,72.0,265.0,72.0,0.83,0.42,2.23,0.4,0.43,1.0,0.54,0.4,0
Eliot Marshall,74.0,205.0,77.0,1.93,0.27,2.39,0.67,0.47,0.33,0.79,0.9,0
David Marshall,74.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jack Marshman,72.0,185.0,73.0,2.74,0.25,4.19,0.56,0.0,0.0,0.2,0.0,0
Doug Marshall,70.0,205.0,72.0,6.99,0.46,4.02,0.6,0.0,0.0,0.66,2.4,1
Terry Martin,68.0,185.0,71.0,2.82,0.43,3.13,0.54,3.1,0.42,0.92,0.0,1
Eric Martin,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Dave Martin,72.0,205.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Justin Martin,72.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joe Martin,69.0,170.0,72.0,0.73,0.4,2.4,0.45,0.0,0.0,0.16,0.0,0
Michal Martinek,74.0,230.0,72.0,2.45,0.53,4.29,0.51,0.0,0.0,0.0,0.0,0
Mallory Martin,64.0,115.0,63.0,3.99,0.59,5.53,0.58,3.37,0.63,0.25,0.5,1
Rainy Martinez,72.0,199.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Anthony Rocco Martin,72.0,170.0,73.0,2.68,0.37,2.59,0.58,0.71,0.27,0.68,1.0,0
Danny Martinez,66.0,125.0,67.0,2.73,0.28,3.77,0.63,3.0,0.45,0.36,0.0,1
Henry Martinez,67.0,155.0,69.0,2.79,0.25,4.01,0.6,0.0,0.0,0.8,0.0,0
Alonzo Martinez,70.0,155.0,72.0,3.07,0.27,7.33,0.52,0.0,0.0,0.0,0.0,0
Jonathan Martinez,68.0,135.0,70.0,4.27,0.46,3.81,0.58,0.48,0.37,0.63,0.0,2
Andrew Martinez,69.0,215.0,72.0,3.4,0.31,2.3,0.47,1.5,0.5,0.0,0.0,0
Victor Martinez,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Roque Martinez,70.0,250.0,72.0,2.67,0.51,4.68,0.59,0.62,0.5,0.16,0.0,0
Mana Martinez,70.0,135.0,70.0,2.11,0.62,1.27,0.5,0.0,0.0,0.0,6.3,1
Poppies Martinez,69.0,145.0,72.0,2.88,0.5,2.16,0.51,1.54,0.33,0.5,9.2,1
Wagner da Conceicao Martins,79.0,390.0,72.0,1.91,0.37,5.43,0.42,2.2,1.0,1.0,0.0,1
Adriano Martins,70.0,155.0,72.0,1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4,0
Lucas Martins,72.0,145.0,72.0,2.87,0.35,4.14,0.6,0.0,0.0,0.76,0.5,0
Jameel Massouh,70.0,145.0,72.0,1.91,0.54,2.62,0.55,0.67,0.15,0.5,0.7,0
Mike Massenzio,74.0,185.0,73.0,2.08,0.45,3.59,0.54,2.74,0.24,0.5,1.4,1
Shoji Maruyama,67.0,139.0,72.0,1.4,0.63,0.27,0.55,0.0,0.0,0.54,0.0,0
Max Martyniouk,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bristol Marunde,73.0,170.0,75.0,1.42,0.21,4.4,0.47,1.6,0.33,0.14,0.0,0
Jorge Masvidal,71.0,170.0,74.0,4.2,0.47,3.0,0.65,1.57,0.59,0.77,0.4,2
Tiffany Masters,63.0,115.0,65.0,3.53,0.62,2.58,0.5,3.06,0.6,0.0,0.0,1
Tateki Matsuda,67.0,125.0,72.0,3.2,0.34,3.43,0.69,0.0,0.0,0.16,0.0,0
Naoki Matsushita,66.0,155.0,72.0,3.3,0.32,2.2,0.63,1.5,1.0,0.0,0.0,0
AJ Matthews,71.0,185.0,72.0,5.11,0.52,4.96,0.51,0.0,0.0,1.0,0.0,2
Koichiro Matsumoto,67.0,145.0,72.0,1.9,0.26,3.5,0.31,0.0,0.0,0.0,0.0,0
Daijiro Matsui,69.0,200.0,72.0,0.84,0.45,1.69,0.55,1.83,0.3,0.43,0.4,0
Jake Matthews,71.0,170.0,73.0,3.03,0.44,2.16,0.61,1.93,0.41,0.66,0.6,0
Claudio Mattos,70.0,185.0,72.0,0.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,0
Francesco Maturi,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
John Matua,74.0,400.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Miranda Maverick,63.0,125.0,65.0,9.8,0.51,6.0,0.62,0.0,0.0,0.0,0.0,2
Nick Maximov,72.0,220.0,76.0,2.47,0.58,0.33,0.58,2.0,0.4,0.0,0.0,0
Vladimir Matyushenko,72.0,205.0,74.0,1.9,0.44,1.62,0.59,3.25,0.46,0.7,0.1,1
Elaina Maxwell,68.0,145.0,72.0,2.07,0.6,2.4,0.53,0.0,0.0,0.5,1.0,0
Jeremy May,73.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Al Matavao,68.0,205.0,67.0,7.84,0.46,6.7,0.58,0.0,0.0,0.0,0.0,2
Jack May,80.0,255.0,72.0,1.52,0.38,3.29,0.33,0.91,0.33,0.2,0.0,0
Don'Tale Mayes,78.0,260.0,81.0,4.13,0.45,4.46,0.43,0.23,0.2,0.59,0.0,2
Brooke Mayo,67.0,125.0,72.0,1.92,0.34,3.2,0.63,3.2,0.6,0.0,2.1,1
Gina Mazany,66.0,125.0,68.0,3.45,0.47,3.07,0.51,4.41,0.63,0.33,0.3,1
Gray Maynard,69.0,155.0,70.0,1.92,0.32,2.64,0.66,2.91,0.47,0.81,0.7,1
Scott McAfee,68.0,155.0,72.0,0.0,0.0,1.33,0.5,0.0,0.0,0.0,0.0,0
Sabina Mazo,67.0,135.0,70.0,6.56,0.44,3.91,0.6,0.81,0.8,0.66,0.2,2
Michael McBride,73.0,155.0,72.0,4.08,0.48,5.85,0.4,1.85,0.42,0.3,1.2,1
Bobby McAndrews,70.0,170.0,72.0,2.56,0.83,1.03,0.5,0.0,0.0,0.33,7.7,1
Ian McCall,65.0,125.0,64.0,3.59,0.39,3.25,0.67,2.08,0.3,0.88,0.0,1
Molly McCann,64.0,125.0,62.0,5.15,0.5,4.28,0.65,1.64,0.29,0.28,0.7,2
Charles McCarthy,70.0,185.0,71.0,0.18,0.12,4.03,0.56,2.67,0.6,0.0,2.7,1
Sean McCorkle,79.0,265.0,81.0,0.85,0.44,2.48,0.52,2.12,0.4,0.33,4.2,1
Kris McCray,72.0,170.0,76.0,2.69,0.45,2.57,0.54,2.88,0.55,0.38,0.0,1
Tamdan McCrory,76.0,185.0,76.0,2.07,0.49,1.6,0.46,2.28,0.5,0.33,2.5,1
Justin McCully,73.0,225.0,73.0,1.58,0.37,2.02,0.46,1.28,0.44,0.43,0.0,0
Michael McDonald,69.0,135.0,70.0,2.69,0.42,2.76,0.57,1.09,0.66,0.52,1.4,1
Rob McCullough,69.0,155.0,69.0,2.47,0.36,2.84,0.59,0.46,1.0,0.68,0.0,0
Robert McDaniel,75.0,185.0,75.0,1.64,0.44,1.98,0.56,0.93,0.5,0.5,1.4,1
Scott McDonald,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Josh McDonald,70.0,185.0,72.0,0.8,0.57,3.4,0.33,9.0,0.5,0.0,0.0,1
Miles McDonald,67.0,115.0,72.0,5.1,0.45,4.0,0.43,0.0,0.0,1.0,1.0,2
Justin McElfresh,78.0,205.0,72.0,4.59,0.26,12.79,0.41,0.0,0.0,0.0,0.0,2
Drew McFedries,72.0,185.0,72.0,5.13,0.51,4.56,0.52,1.42,1.0,0.56,0.7,2
Liam McGeary,78.0,205.0,72.0,1.28,0.48,1.92,0.5,0.51,1.0,0.0,2.5,1
Gan McGee,82.0,265.0,72.0,2.2,0.29,2.31,0.59,0.65,0.25,0.83,0.0,0
Court McGee,71.0,170.0,75.0,4.9,0.36,3.94,0.61,1.6,0.21,0.63,0.4,2
Ryan McGillivray,71.0,170.0,72.0,1.27,0.2,2.2,0.52,0.0,0.0,0.44,0.0,0
Ryan McGivern,72.0,185.0,72.0,2.22,0.29,2.22,0.57,0.0,0.0,0.0,0.0,0
Conor McGregor,69.0,155.0,74.0,5.32,0.49,4.54,0.54,0.7,0.55,0.67,0.0,2
Jack McGlaughlin,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Greg McIntyre,70.0,155.0,72.0,0.79,0.3,1.36,0.41,5.09,0.5,0.0,0.0,1
AJ McKee,70.0,145.0,72.0,2.75,0.32,0.92,0.8,11.01,1.0,1.0,11.0,1
Antonio McKee,68.0,155.0,72.0,1.37,0.45,0.74,0.74,1.47,0.33,0.57,0.0,0
Rhys McKee,74.0,170.0,78.0,6.83,0.53,11.9,0.43,0.0,0.0,0.2,0.0,2
Tim McKenzie,72.0,185.0,74.0,1.37,0.54,2.96,0.44,0.0,0.0,0.28,2.1,1
Terrance McKinney,71.0,145.0,74.0,1.17,0.5,0.59,0.66,4.4,0.33,0.0,0.0,1
Cory McKenna,63.0,115.0,58.0,3.47,0.44,3.03,0.45,0.5,0.5,0.71,0.0,0
Cody McKenzie,72.0,155.0,72.0,1.74,0.34,2.5,0.67,2.5,0.25,0.14,2.5,1
Jason McLean,65.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brian McLaughlin,69.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Garreth McLellan,73.0,185.0,72.0,3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9,2
Sara McMann,66.0,135.0,66.0,2.32,0.45,1.94,0.48,4.41,0.65,0.5,0.5,1
Charles McTorry,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Daniel McWilliams,73.0,185.0,72.0,3.36,0.77,0.0,0.0,0.0,0.0,1.0,21.6,1
James McSweeney,76.0,230.0,77.0,3.94,0.55,4.33,0.42,0.52,0.33,1.0,1.1,1
Tim Means,74.0,170.0,75.0,5.16,0.48,3.58,0.61,0.92,0.41,0.64,0.2,2
Kaline Medeiros,63.0,115.0,72.0,2.06,0.7,0.29,0.83,4.41,1.0,0.0,4.4,1
Anistavio Medeiros,66.0,145.0,72.0,3.64,0.44,5.0,0.47,0.0,0.0,0.0,0.0,2
Yancy Medeiros,70.0,155.0,75.0,4.05,0.35,5.38,0.46,0.12,0.25,0.76,0.5,2
Uros Medic,73.0,155.0,71.0,19.91,0.77,0.52,0.86,0.0,0.0,1.0,0.0,2
Jason Medina,69.0,180.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Todd Medina,70.0,193.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Emil Meek,71.0,170.0,74.0,2.52,0.39,2.53,0.38,0.25,0.33,0.47,1.0,0
Sanford Alton Meeks,77.0,265.0,75.0,0.71,0.42,4.47,0.38,7.06,0.25,0.0,0.0,1
Frank Megallon,70.0,185.0,72.0,1.14,0.21,5.32,0.54,0.0,0.0,0.0,0.0,0
Bryce Mejia,73.0,170.0,72.0,3.49,0.62,6.98,0.5,0.0,0.0,0.0,0.0,0
Gerald Meerschaert,73.0,185.0,77.0,3.3,0.42,3.61,0.51,2.33,0.43,0.46,1.7,1
Derrick Mehmen,76.0,205.0,72.0,1.93,0.14,4.53,0.48,1.0,0.16,0.0,0.0,0
Jordan Mein,72.0,170.0,73.0,3.35,0.44,2.55,0.69,1.56,0.58,0.66,0.2,0
Miika Mehmet,70.0,205.0,72.0,0.33,0.12,7.29,0.24,0.0,0.0,0.0,0.0,0
Brian Melancon,68.0,170.0,72.0,4.18,0.49,3.64,0.64,2.02,1.0,0.66,0.0,1
Brandon Melendez,71.0,155.0,72.0,0.84,0.26,0.56,0.63,0.0,0.0,0.25,0.0,0
Fabio Mello,65.0,155.0,72.0,0.86,0.35,3.94,0.5,0.0,0.0,0.0,0.0,0
Gilbert Melendez,69.0,145.0,73.0,3.44,0.33,2.53,0.63,1.64,0.41,0.71,0.2,0
Vanessa Melo,65.0,135.0,65.0,3.48,0.3,6.13,0.59,0.0,0.0,0.71,0.0,0
Marcelo Mello,67.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antonio Mendes,75.0,205.0,77.0,1.34,0.47,6.85,0.22,2.51,0.5,1.0,0.0,1
Augusto Mendes,66.0,135.0,65.0,2.42,0.34,3.91,0.56,1.75,0.33,0.8,0.0,0
Chad Mendes,66.0,145.0,66.0,2.78,0.49,2.35,0.67,4.13,0.55,1.0,0.3,1
Eddie Mendez,70.0,185.0,72.0,1.71,0.33,3.43,0.11,0.0,0.0,0.0,0.0,0
Luis Mendoza,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pietro Menga,67.0,125.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alonzo Menifield,72.0,205.0,76.0,3.34,0.47,3.72,0.45,0.0,0.0,0.85,0.0,0
Ivan Menjivar,66.0,145.0,64.0,2.78,0.37,2.76,0.65,0.56,0.28,0.38,1.0,0
Steve Mensing,71.0,185.0,72.0,0.0,0.0,9.51,0.42,0.0,0.0,0.0,0.0,0
Dave Menne,70.0,170.0,72.0,1.84,0.44,1.99,0.42,0.46,0.5,0.57,2.5,1
Adam Meredith,74.0,170.0,72.0,2.63,0.5,2.11,0.55,7.89,1.0,1.0,7.9,1
Buck Meredith,74.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joe Merritt,72.0,170.0,72.0,1.53,0.58,0.73,0.66,0.0,0.0,0.68,0.0,0
Jonathan Meunier,75.0,170.0,72.0,3.47,0.5,1.43,0.69,0.58,0.33,0.58,0.0,0
Jeremiah Metcalf,73.0,185.0,72.0,1.74,0.59,0.27,0.6,4.02,0.66,1.0,2.0,1
Brandon Michaels,69.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Yaotzin Meza,69.0,145.0,71.0,1.43,0.41,1.62,0.64,1.06,0.2,0.18,1.4,1
Guy Mezger,73.0,200.0,72.0,2.3,0.32,1.36,0.72,0.39,0.5,0.88,0.0,0
David Michaud,69.0,155.0,72.0,3.25,0.43,4.45,0.54,2.53,0.58,0.77,0.7,1
Andreas Michailidis,72.0,185.0,76.0,4.6,0.5,3.6,0.63,0.0,0.0,0.0,0.0,2
Kristof Midoux,73.0,220.0,72.0,0.7,0.43,2.89,0.49,0.0,0.0,0.0,0.0,0
Keith Mielke,68.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zachary Micklewright,72.0,155.0,74.0,5.56,0.53,4.72,0.54,0.7,0.12,1.0,0.0,2
Chris Mierzwiak,73.0,185.0,72.0,1.6,0.61,1.73,0.48,2.0,0.28,0.0,1.0,0
Bojan Mihajlovic,71.0,205.0,73.0,1.23,0.35,5.95,0.47,0.0,0.0,0.33,0.0,0
Gabriel Miglioli,68.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Billy Miles,70.0,170.0,72.0,0.0,0.0,1.25,0.33,0.0,0.0,0.0,0.0,0
Phillip Miller,71.0,185.0,72.0,1.61,0.54,1.93,0.5,3.62,0.25,1.0,0.6,1
Jason Miller,73.0,185.0,72.0,1.83,0.43,2.3,0.49,1.31,0.28,0.43,1.3,1
Dan Miller,73.0,185.0,74.0,2.03,0.36,3.06,0.49,1.67,0.54,0.47,1.8,1
Curtis Millender,74.0,170.0,76.0,3.86,0.46,2.95,0.61,0.43,1.0,0.57,0.0,2
Pat Miletich,70.0,170.0,72.0,1.79,0.45,1.66,0.63,1.96,1.0,0.54,1.0,0
Cole Miller,73.0,145.0,73.0,3.0,0.33,3.88,0.59,0.6,0.36,0.38,1.8,1
Chris Mickle,69.0,145.0,72.0,3.03,0.27,9.7,0.48,0.0,0.0,0.0,0.0,0
Jim Miller,68.0,155.0,71.0,2.73,0.4,2.99,0.59,1.69,0.43,0.46,1.9,1
Micah Miller,72.0,145.0,72.0,1.33,0.33,2.15,0.54,0.98,0.37,0.21,2.0,1
Aaron Miller,69.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Henry Miller,67.0,270.0,72.0,1.25,0.36,2.16,0.54,0.55,0.25,0.6,0.0,0
Che Mills,73.0,170.0,76.0,2.08,0.52,2.87,0.43,1.18,0.66,0.58,0.0,0
Eddy Millis,73.0,185.0,72.0,0.0,0.0,3.36,0.22,0.0,0.0,0.0,7.2,1
Adam Milstead,75.0,205.0,76.0,3.85,0.46,4.79,0.43,0.0,0.0,0.64,0.0,2
Alberto Mina,72.0,170.0,77.0,3.23,0.38,3.7,0.47,1.85,0.2,0.5,0.0,0
Stipe Miocic,76.0,240.0,80.0,4.9,0.52,3.75,0.55,1.92,0.34,0.7,0.0,2
Vitaly Minakov,74.0,249.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Darrick Minner,67.0,145.0,69.0,3.24,0.7,1.4,0.43,3.0,0.62,0.6,3.6,1
Mike Minniger,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Carlton Minus,70.0,170.0,75.0,3.5,0.4,4.97,0.5,0.0,0.0,0.58,0.0,0
Ikuhisa Minowa,69.0,181.0,72.0,0.88,0.4,1.66,0.49,1.82,0.41,0.05,1.9,1
Juan Miranda,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mario Miranda,75.0,185.0,74.0,1.96,0.54,2.46,0.36,1.02,0.6,0.54,0.0,0
Frank Mir,75.0,264.0,79.0,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0,1
Damir Mirenic,72.0,185.0,72.0,0.84,0.5,9.86,0.35,0.0,0.0,0.0,0.0,0
Vitor Miranda,73.0,185.0,77.0,2.98,0.45,2.95,0.58,0.95,0.55,0.5,0.2,0
Toby Misech,68.0,145.0,72.0,3.27,0.4,7.73,0.46,0.0,0.0,0.0,0.0,0
Kazuo Misaki,68.0,183.0,72.0,2.85,0.4,2.74,0.63,0.72,0.38,0.51,0.6,0
