fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Style
Julius Anglickas,75.0,205.0,72.0,4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1,1
Collin Anglin,69.0,145.0,71.0,5.87,0.55,3.47,0.58,3.0,0.75,1.0,0.0,1
Magomed Ankalaev,75.0,205.0,75.0,3.41,0.53,1.78,0.65,1.18,0.33,0.85,0.0,0
Yoji Anjo,71.0,205.0,72.0,0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0,0
Nina Ansaroff,65.0,115.0,64.0,4.81,0.47,3.55,0.54,0.29,0.4,0.77,0.6,2
Angelo Antonio,70.0,205.0,72.0,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0,0
Adam Antolin,65.0,125.0,63.0,5.73,0.52,5.0,0.69,0.0,0.0,1.0,0.0,2
Gadzhimurad Antigulov,71.0,205.0,70.0,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,1
Azunna Anyanwu,73.0,251.0,72.0,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0,0
Shinsho Anzai,67.0,170.0,70.0,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,0
Josh Appelt,70.0,255.0,72.0,1.35,0.4,11.5,0.32,0.0,0.0,0.33,0.0,0
Aori Qileng,67.0,125.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Kenji Arai,70.0,145.0,72.0,8.79,0.27,10.29,0.39,0.0,0.0,0.0,0.0,2
Erik Apple,72.0,170.0,72.0,0.0,0.0,0.54,0.81,0.0,0.0,0.0,8.1,1
Romie Aram,70.0,170.0,72.0,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0,1
Shinya Aoki,71.0,154.0,72.0,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0,1
Igor Araujo,73.0,170.0,77.0,1.52,0.42,2.86,0.49,0.86,0.15,0.22,0.6,0
Felipe Arantes,68.0,135.0,73.0,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7,0
Julio Arce,67.0,145.0,70.0,4.25,0.36,2.87,0.67,0.58,0.3,0.93,0.6,2
Viviane Araujo,64.0,125.0,68.0,4.97,0.48,4.84,0.6,2.33,0.64,0.94,0.2,1
Art Arciniega,68.0,145.0,72.0,1.53,0.46,2.73,0.51,0.0,0.0,0.5,1.0,0
Tristan Arenal,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joey Armstrong,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andrei Arlovski,75.0,240.0,77.0,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3,0
Akbarh Arreola,70.0,155.0,71.0,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,0
Ricardo Arona,71.0,205.0,72.0,1.66,0.48,1.15,0.57,2.41,0.48,0.58,1.2,1
Chalid Arrab,71.0,205.0,72.0,1.56,0.34,1.63,0.56,3.05,0.75,0.37,1.0,1
Austin Arnett,72.0,145.0,72.0,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,2
Matt Arroyo,70.0,170.0,72.0,1.62,0.47,2.01,0.58,2.12,0.36,1.0,5.3,1
Antonio Arroyo,75.0,185.0,73.0,3.08,0.7,1.72,0.44,1.4,0.41,0.32,0.3,0
Gilles Arsene,69.0,190.0,72.0,0.06,0.1,2.45,0.32,0.0,0.0,0.0,0.0,0
Veta Arteaga,67.0,125.0,72.0,3.2,0.36,1.92,0.65,0.0,0.0,0.4,0.0,0
Teddy Ash,73.0,185.0,73.0,7.27,0.61,6.8,0.28,0.0,0.0,1.0,0.0,2
Cesar Arzamendia,71.0,155.0,72.0,5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4,1
Askar Askar,67.0,145.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Arman Ashimov,66.0,125.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Askar Askarov,66.0,125.0,67.0,3.37,0.55,2.65,0.56,2.75,0.28,0.64,0.0,1
Cyril Asker,72.0,247.0,74.0,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9,1
Scott Askham,75.0,185.0,75.0,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7,0
Ben Askren,71.0,170.0,73.0,3.64,0.49,5.66,0.36,4.33,0.55,0.0,0.9,1
Ibo Aslan,75.0,205.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tom Aspinall,77.0,256.0,78.0,7.43,0.66,3.06,0.65,3.54,1.0,0.0,1.8,1
Bruno Assis,74.0,185.0,72.0,1.27,0.43,3.2,0.36,2.0,0.5,0.66,1.0,0
Junior Assuncao,69.0,145.0,72.0,3.31,0.62,2.06,0.44,2.43,0.24,0.66,0.7,1
Raphael Assuncao,65.0,135.0,66.0,3.26,0.4,2.33,0.68,1.48,0.38,0.8,0.3,0
Bazigit Atajev,73.0,230.0,72.0,0.87,0.41,3.14,0.49,1.0,0.33,0.0,0.0,0
Rich Attonito,70.0,170.0,72.0,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,0
Pat Audinwood,72.0,155.0,72.0,1.17,0.12,4.31,0.41,0.8,0.5,0.0,0.0,0
Olivier Aubin-Mercier,69.0,155.0,70.0,2.48,0.51,2.97,0.55,2.36,0.33,0.7,0.5,1
Jose Augusto,75.0,251.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marcus Aurelio,70.0,155.0,74.0,1.42,0.33,2.27,0.59,1.69,0.27,0.27,1.3,1
